week_start,week_end,ndvi_mean,pasture_id
2026-06-08,2026-06-15,0.2629770551649021,pasture_001
2026-06-01,2026-06-08,0.2537666053960215,pasture_001
2026-05-25,2026-06-01,0.2374634545869862,pasture_001
2026-05-18,2026-05-25,0.19526216055457718,pasture_001
2026-05-11,2026-05-18,,pasture_001
2026-05-04,2026-05-11,0.1749684323273398,pasture_001
2026-04-27,2026-05-04,0.17165122113895318,pasture_001
2026-04-20,2026-04-27,,pasture_001
2026-04-13,2026-04-20,,pasture_001
2026-04-06,2026-04-13,0.14730943950166833,pasture_001
2026-03-30,2026-04-06,0.15158799096601122,pasture_001
2026-03-23,2026-03-30,0.13044746544272465,pasture_001
2026-03-16,2026-03-23,0.13364990054709908,pasture_001
2026-03-09,2026-03-16,,pasture_001
2026-03-02,2026-03-09,,pasture_001
2026-02-23,2026-03-02,0.12627812288645565,pasture_001
2026-02-16,2026-02-23,,pasture_001
2026-02-09,2026-02-16,0.13129252160591834,pasture_001
2026-02-02,2026-02-09,0.1437637718778583,pasture_001
2026-01-26,2026-02-02,,pasture_001
2026-01-19,2026-01-26,,pasture_001
2026-01-12,2026-01-19,0.13428479651096567,pasture_001
2026-01-05,2026-01-12,,pasture_001
2025-12-29,2026-01-05,,pasture_001
2025-12-22,2025-12-29,,pasture_001
2025-12-15,2025-12-22,0.132303580163951,pasture_001
2025-12-08,2025-12-15,,pasture_001
2025-12-01,2025-12-08,0.14621852066174165,pasture_001
2025-11-24,2025-12-01,,pasture_001
2025-11-17,2025-11-24,,pasture_001
2025-11-10,2025-11-17,0.1562351462554487,pasture_001
2025-11-03,2025-11-10,,pasture_001
2025-10-27,2025-11-03,0.19959235564554512,pasture_001
2025-10-20,2025-10-27,,pasture_001
2025-10-13,2025-10-20,0.25400935351736437,pasture_001
2025-10-06,2025-10-13,,pasture_001
2025-09-29,2025-10-06,0.3033731504048439,pasture_001
2025-09-22,2025-09-29,,pasture_001
2025-09-15,2025-09-22,,pasture_001
2025-09-08,2025-09-15,0.40133937308989054,pasture_001
2025-09-01,2025-09-08,,pasture_001
2025-08-25,2025-09-01,0.48825466857684896,pasture_001
2025-08-18,2025-08-25,,pasture_001
2025-08-11,2025-08-18,0.5322195024714287,pasture_001
2025-08-04,2025-08-11,0.5094047908598794,pasture_001
2025-07-28,2025-08-04,0.463534637446182,pasture_001
2025-07-21,2025-07-28,,pasture_001
2025-07-14,2025-07-21,0.2915040528721179,pasture_001
2025-07-07,2025-07-14,,pasture_001
2025-06-30,2025-07-07,,pasture_001
2025-06-23,2025-06-30,0.16415814051341418,pasture_001
2025-06-16,2025-06-23,,pasture_001
