pasture_id,week_of_year,p10,p30,p50,p70,p90,n_years
pasture_001,3,0.1559,0.158,0.1601,0.1603,0.1605,3
pasture_001,5,0.1133,0.1212,0.1382,0.1537,0.1583,5
pasture_001,7,0.1374,0.1423,0.1443,0.1467,0.148,6
pasture_001,9,0.1336,0.1374,0.1394,0.1418,0.148,4
pasture_001,12,0.1542,0.1587,0.1608,0.1629,0.1669,4
pasture_001,14,0.1479,0.1544,0.1677,0.1796,0.1927,6
pasture_001,16,0.155,0.1704,0.1789,0.1906,0.2258,4
pasture_001,18,0.1629,0.1821,0.2014,0.2266,0.2518,3
pasture_001,19,0.2089,0.211,0.2131,0.2312,0.2493,3
pasture_001,21,0.1685,0.2008,0.2048,0.2375,0.2523,5
pasture_001,23,0.1957,0.2386,0.2452,0.2565,0.283,6
pasture_001,25,0.217,0.221,0.2621,0.3035,0.3096,4
pasture_001,28,0.2445,0.2872,0.3016,0.321,0.3937,4
pasture_001,30,0.1977,0.298,0.4036,0.4213,0.5076,6
pasture_001,32,0.2702,0.3888,0.4201,0.44,0.4903,4
pasture_001,34,0.2607,0.3256,0.3905,0.4058,0.4212,3
pasture_001,35,0.3923,0.4469,0.5014,0.5162,0.531,3
pasture_001,37,0.3358,0.3551,0.4156,0.4349,0.4451,5
pasture_001,39,0.2635,0.2842,0.3232,0.3598,0.369,6
pasture_001,41,0.2039,0.2055,0.2222,0.2472,0.2986,4
pasture_001,44,0.1969,0.2059,0.2187,0.2302,0.2317,4
pasture_001,46,0.1583,0.1723,0.182,0.1876,0.1943,6
pasture_001,48,0.1434,0.1447,0.1588,0.1731,0.1761,4
pasture_001,50,0.1468,0.1476,0.1484,0.1513,0.1542,3
pasture_001,51,0.15,0.1522,0.1543,0.1661,0.1778,3
pasture_001,52,0.1457,0.1471,0.1485,0.1549,0.1614,3
